start page,end page,topic name
12,13,பாரதிதாசன்
15,17,பெருஞ்சித்திரனார் 
18,24,தமிழ் மொழிச் சிறப்பு
25,27,"அறநூல்கள், அகநானூறு
புறநானூறு"
28,30,இலக்கணக்குறிப்பு 
32,33,பழமொழி
36,38,சிலப்பதிகாரம் 
39,41,பாரதியார் 
42,46,தமிழ்நாடு
53,54,இலக்கணக்குறிப்பு 
56,57,"பழமொழி, ஒலி வேறுபாடு"
58,60,திருக்குறள் 
62,64,தமிழ் மொழிச் சிறப்பு 
65,67,"பிரித்து எழுதுக, எதுகை மோனை இயைபு"
68,73,தமிழ் மொழிச் சிறப்பு   
79,81,இலக்கணக் குறிப்பு
82,83,தமிழ்நாடு
88,89,அறநூல்கள் 
90,92,மரபு கவிதை
93,96,சமுதாயத் தொண்டு 
97,100,தமிழ்நாடு
101,102,இலக்கணக்குறிப்பு 
106,107,ஆங்கில/ பிற மொழி சொல்லறிதல் 
110,111,அறநூல்கள் 
112,114,"கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை, பிரித்து எழுதுக"
115,118,தமிழ்நாடு
119,123,கலைகள்-சிற்பம்-ஓவியம்- பேச்சு- நாட்டுப்புற கலை
124,126,ஒலி வேறுபாடு 
128,129,ஆங்கில/ பிற மொழி சொல்லறிதல் 
130,132,திருக்குறள் 
136,138,மரபு கவிதை 
139,141,தமிழ்நாடு
142,146,தமிழ்நாடு
154,155,ஆங்கில/ பிற மொழி சொல்லறிதல் 
158,160,புதுக்கவிதை
161,164,"நேரு,காந்தி,அம்பேத்கர் "
165,168,தமிழ் மகளிரின் சிறப்பு 
169,170,இலக்கணக்குறிப்பு 
172,173,ஆங்கில/ பிற மொழி சொல்லறிதல் 
176,177,சமய அறிஞர்கள்
178,179,சிறுகதை 
180,183,"சிலப்பதிகாரம், மணிமேகலை"
184,187,சிறுகதை 
188,190,இலக்கணக்குறிப்பு 
192,193,ஆங்கில/ பிற மொழி சொல்லறிதல் 
194,195,திருக்குறள் 
198,201,"நாமக்கல் கவிஞர்
கவிமணி தேசிய விநாயகனார்"
202,205,"சமய முன்னோடிகள், தமிழ் மகளிரின் சிறப்பு "
209,210,அணி இலக்கணம் 
211,213,"வரிசை படுத்துதல்,ஆங்கில/ பிற மொழி சொல்லறிதல், சொற்றொடர் "
215,222,திருக்குறள் 
